contract_id,clause,risk_level,risk_type,预分类,人工裁决,备注,复核裁决,复核备注
C04,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,low,费用承担不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C04,双方在本合同首部填写的联系方式为有效联系方式，一方发出的通知到达该联系方式即视为送达，联系方式变更的应及时告知对方。,low,通知送达条款,待人工,过度预警,标准通知送达条款,低风险/过度预警,
C05,第十条：乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；,high,违约金过高,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C05,第四条：租赁期满，乙方结清费用、返还房屋并经甲方验收无损坏后，甲方按规定退还押金。,medium,押金返还期限不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C05,第九条：乙方确需提前退租的，应提前30日书面通知甲方。,medium,提前退租责任不明确,待人工,过度预警,标准提前退租条款,低风险/过度预警,
C05,第十条：乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同。,medium,违约责任不对等,待人工,过度预警,同第十条违约约定，属常见标准,低风险/过度预警,
C05,第二条：租赁期限自2026年10月1日起至2027年9月30日止，共计12个月。租赁期满未续签的，乙方应按约定返还房屋。,low,续租条款缺失,待人工,过度预警,标准租期条款,低风险/过度预警,
C05,第一条：甲方将位于某某市某某区光明路9号院4号楼1单元202室的房屋出租给乙方。,medium,权属风险,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C05,第八条：甲方应在收到报修通知后5日内安排维修。,low,维修责任不完善,待人工,过度预警,5日维修时限属正常,低风险/过度预警,
C05,第十二条：本合同一式两份，甲乙双方各执一份，自双方签字（盖章）之日起生效。甲方（签章）：吴某某 2026年9月　日,low,合同形式瑕疵,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C06,甲方可随时进入租赁房屋检查使用情况，乙方不得拒绝。甲方应在合理时间内通知乙方后进入房屋进行检查或维修。,high,居住安宁权与隐私权风险,待人工,合理发现,实为埋点命中（随时进入检查），引用片段致匹配失败,高风险合理发现,
C06,甲方确需提前收回房屋的，应提前30日书面通知乙方，退还剩余租金及押金，并按约定承担相应责任。,high,提前收回违约责任不明确且不对等,待人工,过度预警,已约定30日通知+退款+按约担责,低风险/过度预警,
C06,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,违约金过高且单向约定,重复报告-首条,过度预警,0.5%/日属常见约定未超标,重复报告-首条,重复首条（实质中风险，建议复核）
C06,租赁期满，乙方结清费用并返还房屋，经甲方验收无损坏的，押金全额无息退还。,medium,押金返还条款不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C06,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担。供暖费由甲方承担。,medium,费用承担范围不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C06,房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。,medium,维修责任履行机制缺失,待人工,过度预警,标准维修分担条款,低风险/过度预警,
C06,甲方将位于某某市某某区园林路33号7号楼2单元401室的房屋出租给乙方使用。,high,出租方主体资格与房屋权利瑕疵,重复报告-首条,过度预警,仅房屋坐落表述，无异常,重复报告-首条,重复首条（实质中风险，建议复核）
C06,甲方应于2026年11月1日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单签字确认。,medium,逾期交付违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C06,租赁期满，乙方需要续租的，应在期满前30日向甲方提出，双方协商签订续租合同。,low,续租权利不明确,待人工,过度预警,标准续租条款,低风险/过度预警,
C06,双方在本合同首部填写的联系方式为有效联系方式，一方发出的通知到达该联系方式即视为送达，联系方式变更的应及时告知对方。,low,通知送达条款过于宽泛,待人工,过度预警,标准通知送达条款,低风险/过度预警,
C06,月租金为2500元（大写：贰仟伍佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。,low,首期租金支付时间不明确,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C06,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,medium,合同解除后结算约定不明,重复报告,重复报告,与第3条0.5%条款文本完全相同,重复报告,
C06,甲方将位于某某市某某区园林路33号7号楼2单元401室的房屋出租给乙方使用。,medium,房屋出售、抵押等权利变动风险,重复报告,重复报告,与第7条房屋坐落文本完全相同,重复报告,
C07,第四条 乙方于签订本合同时向甲方支付押金3300元（大写：叁仟叁佰元整）。租赁期满或合同解除后，乙方结清费用、返还房屋，经甲方验收无损坏的，押金予以退还。,medium,押金退还期限及验收标准不明,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C07,第十条 乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并要求乙方腾退房屋。,high,违约金过高,重复报告-首条,过度预警,0.5%/日属常见约定未超标,重复报告-首条,重复首条（实质中风险，建议复核）
C07,第十条 乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并要求乙方腾退房屋。,high,违约责任不对等,重复报告,重复报告,与第2条条款文本完全相同,重复报告,
C07,第八条 房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。乙方报修时应说明故障情况。,medium,维修责任不明确,待人工,过度预警,标准维修条款,低风险/过度预警,
C07,第九条 乙方确需提前解除合同的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,提前解约条款不完整且不对等,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C07,第七条 乙方装修房屋的费用自理，租期届满装修无偿归甲方所有。乙方装修方案应事先征得甲方书面同意，装修施工不得影响房屋主体结构安全。,medium,装修物归属不公平,待人工,合理发现,实为埋点命中（装修无偿归甲方），引用片段致匹配失败,高风险合理发现,
C07,第一条 甲方将位于某某市某某区青松路16号院1号楼3单元502室的房屋出租给乙方居住使用。,medium,出租方权属风险,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C07,第五条 甲方应于2026年10月1日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋及屋内物品，填写交接清单并签字确认。,medium,交付违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C07,第六条 租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,low,费用承担约定不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C07,第二条 租赁期满，乙方如需续租，应提前30日书面通知甲方，双方协商签订续租合同。,low,续租条款不完整,待人工,过度预警,标准续租条款,低风险/过度预警,
C07,甲方（签章）：褚某某 2026年9月　日 乙方（签章）：卫某某 2026年9月　日,low,签署日期缺失,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C08,第十条 乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；乙方违反合同约定使用房屋的，甲方有权要求乙方限期改正。,high,违约金过高,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C08,第九条 甲方确需提前收回房屋的，应提前30日书面通知乙方，退还剩余租金及押金。,high,解除权不对等/甲方违约责任缺失,待人工,过度预警,已约定30日通知+退租金押金,低风险/过度预警,
C08,第四条 租赁期满，乙方结清费用、返还房屋并经甲方验收无损坏的，押金予以退还。,medium,押金返还条款不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C08,第七条 甲方应在收到报修通知后5日内安排维修。乙方应遵守小区物业管理规约，爱护公共设施，紧急故障甲方应即时处理。,medium,维修责任履行保障不足,待人工,过度预警,标准维修条款且紧急即时处理,低风险/过度预警,
C08,第五条 甲方应于2026年10月10日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单签字确认。,medium,甲方逾期交付违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C08,第二条 租赁期满，乙方如需续租，应提前30日提出，双方另行签订续租合同。,low,续租条款不明确,待人工,过度预警,标准续租条款,低风险/过度预警,
C08,第十条 乙方违反合同约定使用房屋的，甲方有权要求乙方限期改正。,medium,违约责任不对等,待人工,过度预警,属常见违约约定,低风险/过度预警,
C08,第一条 甲方将位于某某市某某区长安街58号院5号楼1单元301室的房屋出租给乙方。,medium,出租方权属未核实,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C09,第二条 租赁期限...租赁期内，乙方享有稳定的租赁权，甲方不得无故收回房屋。...第十条...甲方确需提前收回房屋的，应提前30日书面通知乙方，退还剩余租金及押金，并向乙方支付相当于一个月租金的违约金。,high,租期稳定性与甲方解除权风险,待人工,过度预警,已约定提前收回付一月违约金，条款良好,低风险/过度预警,
C09,第十一条 违约责任...乙方逾期支付租金的，每逾期一日，按月租金的0.3%向甲方支付违约金；逾期超过15日的，甲方有权解除合同，收回房屋，并要求乙方赔偿由此造成的损失。,medium,违约责任不对等与违约金过高风险,待人工,过度预警,0.3%/日低于常见水平,低风险/过度预警,
C09,第十三条 争议解决...协商不成的，任何一方均可依法向房屋所在地人民法院提起诉讼，或向房屋所在地仲裁委员会申请仲裁。,medium,争议解决条款约定不明风险,待人工,过度预警,或裁或审虽有效率瑕疵，对承租人实质影响有限,低风险/过度预警,
C09,第四条 押金...租赁期满或合同解除后，乙方结清应由其承担的各项费用，并将房屋及附属设施完好交还甲方，经双方共同验收无损坏的，甲方应于验收之日起5个工作日内将押金全额无息退还乙方。,medium,押金退还条件与逾期责任风险,待人工,过度预警,押金5个工作日无息退还，约定明确良好,低风险/过度预警,
C09,第八条 维修责任...甲方接到乙方报修通知后，应在3日内安排维修，紧急情况应即时处理。,medium,维修履行保障不足风险,待人工,过度预警,3日维修+紧急即时，约定良好,低风险/过度预警,
C09,第一条 租赁标的...甲方保证对该房屋享有合法出租权利，无权属争议。,medium,出租人权利瑕疵风险,待人工,过度预警,条款已含合法出租权保证,低风险/过度预警,
C09,第十二条 通知与送达...一方以短信、微信或书面函件方式发出的通知，到达对方任一联系方式即视为送达。联系方式变更的，应于变更后3日内书面告知对方。,low,通知送达条款风险,待人工,过度预警,标准通知送达条款,低风险/过度预警,
C09,第十一条...逾期超过15日的，甲方有权解除合同，收回房屋，并要求乙方赔偿由此造成的损失。,low,解除权行使程序风险,待人工,过度预警,属常见违约解除约定,低风险/过度预警,
C09,第五条 房屋交付与返还...双方共同清点屋内物品，填写《房屋交接清单》并签字确认。乙方返还房屋时，应参照交接清单将房屋及物品完好交还甲方，并结清各项应付费用。,low,交接与费用结算风险,待人工,过度预警,标准交接条款,低风险/过度预警,
C09,第六条 费用承担...租赁期内，乙方使用房屋产生的水费、电费、燃气费、网络费由乙方按有关部门的收费标准自行缴纳。供暖费由甲方承担。物业管理费由甲方承担。,low,费用承担及历史欠费风险,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C09,第二条 租赁期限...租赁期满，乙方如需续租，应于期满前60日向甲方书面提出，双方另行签订续租合同；同等条件下，乙方享有优先承租权。,low,续租程序与优先承租权风险,待人工,过度预警,已约定优先承租权,低风险/过度预警,
C09,签订日期：2026年10月　日,low,合同生效与日期填写风险,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C10,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。任何一方违约给对方造成损失的，应承担赔偿责任。,high,违约金过高且违约责任不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C10,租赁期满或合同解除后，乙方结清各项费用并返还房屋，经甲方验收无损坏的，押金予以退还。,medium,押金退还期限及标准不明,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C10,乙方确需提前解除合同的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,提前解约条款不完整,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C10,房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修责任履行保障不足,待人工,过度预警,标准维修条款,低风险/过度预警,
C10,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,low,费用承担约定不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C10,甲方将位于某某市某某区滨河路45号3号楼2单元402室的房屋出租给乙方使用。,medium,出租房屋权利瑕疵风险,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C10,甲方（签章）：姜某某 2026年10月　日,low,签署日期不明确,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C10,乙方应妥善保管房屋钥匙及门禁卡，不得私自配置转借他人。,low,门禁卡遗失责任缺失,待人工,过度预警,钥匙保管义务属正常条款（2000元埋点已命中）,低风险/过度预警,
C11,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,违约金过高/违约责任不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C11,租赁期满，乙方结清各项费用、返还房屋并经甲方验收无损坏的，押金全额无息退还。,medium,押金退还期限不明/验收标准过严,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C11,月租金为5800元（大写：伍仟捌佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。,low,租金支付时间歧义,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C11,房屋设施因自然损耗发生故障的，由甲方负责维修；因乙方使用不当损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修义务履行/救济缺失,待人工,过度预警,标准维修条款,低风险/过度预警,
C11,甲方出售房屋时应提前通知乙方，配合乙方安排看房时间。,low,看房安排/居住安宁,待人工,过度预警,出售通知配合看房属正常安排,低风险/过度预警,
C11,租赁期满，乙方如需续租，应提前30日向甲方提出，双方协商签订续租合同。,low,续租条款不确定性,待人工,过度预警,标准续租条款,低风险/过度预警,
C11,甲方应于2026年9月25日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单签字确认。,low,逾期交付违约责任缺失,待人工,过度预警,标准交付条款,低风险/过度预警,
C11,甲方保证房屋权属清晰，无抵押查封等权利限制。,medium,权属保证违约责任缺失,待人工,过度预警,条款已含无抵押查封保证,低风险/过度预警,
C11,2026年9月　日,low,合同生效日期不明确,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C11,支付方式为银行转账至甲方指定账户。甲方收款后向乙方出具收款凭证。,low,收款账户未明确,待人工,过度预警,转账+收款凭证属标准约定,低风险/过度预警,
C12,第四条：押金用于担保乙方履行本合同义务，乙方结清费用并返还房屋后按前款约定办理退还。,medium,押金扣除范围不明确,待人工,过度预警,押金担保功能属正常表述（90日埋点已命中）,低风险/过度预警,
C12,第三条：月租金为2600元，乙方按季度支付，应于每季度首月5日前支付当季租金。,medium,租金支付时间与起租日冲突,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C12,第三条：支付方式为银行转账至甲方指定账户。,low,收款账户约定不明,待人工,过度预警,银行转账属标准约定,低风险/过度预警,
C12,第十一条：乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。任何一方违约给对方造成损失的，应承担赔偿责任。,high,违约金过高且不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C12,第八条：房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修责任救济不足,待人工,过度预警,标准维修条款,低风险/过度预警,
C12,第十条：乙方确需提前解除合同的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,提前解除权不对等且解除情形不完整,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C12,第二条：租赁期满，乙方需要续租的，应提前30日向甲方提出，双方协商签订续租合同。,medium,续租及优先承租权不明确,待人工,过度预警,标准续租条款,低风险/过度预警,
C12,第六条：租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,medium,费用承担范围不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C12,第五条：退租时乙方参照交接清单返还房屋。,medium,退租验收标准不明确,待人工,过度预警,参照清单返还是正常约定,低风险/过度预警,
C12,第一条：甲方将位于某某市某某区文化路5号院10号楼2单元101室的房屋出租给乙方使用。,high,房屋权属及出租权限未核实,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C12,第十三条：本合同一式两份，甲乙双方各执一份，自双方签字（盖章）之日起生效。甲方（签章）：齐某某 2026年9月　日 乙方（签章）：易某某 2026年9月　日,low,签署日期空白,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C13,第九条 乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。乙方违反合同约定使用房屋的，甲方有权要求乙方限期改正。,high,违约责任不对等与违约金过高,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C13,第四条 乙方于签订本合同时向甲方支付押金3300元（大写：叁仟叁佰元整）。押金用于担保乙方履行本合同义务。,medium,押金返还条件缺失,待人工,过度预警,押金担保表述属正常,低风险/过度预警,
C13,第八条 乙方确需提前退租的，应提前30日书面通知甲方。,medium,提前退租责任不明,待人工,过度预警,标准提前退租条款,低风险/过度预警,
C13,第六条 租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,medium,费用承担约定不明,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C13,第三条 月租金为3300元（大写：叁仟叁佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。支付方式为银行转账至甲方指定账户。甲方收款后应向乙方出具收款凭证。,medium,租金支付周期不明确,待人工,过度预警,标准租金支付约定,低风险/过度预警,
